OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
1,Southwest Georgia,No,13099090500,2083,Tract,2020,"Census Tract 905, Early County",1690,281,133.18312,12.7,3709516253.66119,262058.192903192
2,Southwest Georgia,No,13099090400,2082,Tract,2020,"Census Tract 904, Early County",3848,422,78.514931,49,2186823104.54108,218767.674207706
3,Southwest Georgia,No,13099090200,2080,Tract,2020,"Census Tract 902, Early County",2828,462,115.94355,24.4,3229579780.09698,313756.221738288
4,Atlanta Regional Commission,Yes,13067031209,1648,Tract,2020,"Census Tract 312.09, Cobb County",4664,361,1.317773,3539.3,36719351.7084961,33043.6980351417
5,Atlanta Regional Commission,Yes,13067031207,1647,Tract,2020,"Census Tract 312.07, Cobb County",4964,695,1.091056,4549.7,30401975.1828613,23180.2573172638
6,Atlanta Regional Commission,Yes,13067030507,1611,Tract,2020,"Census Tract 305.07, Cobb County",6135,1480,2.385206,2572.1,66465450.8215332,33142.1275885508
7,Atlanta Regional Commission,Yes,13067030506,1610,Tract,2020,"Census Tract 305.06, Cobb County",4605,829,3.106593,1482.3,86567511.4006348,42843.6083641199
8,Atlanta Regional Commission,Yes,13057090101,1344,Tract,2020,"Census Tract 901.01, Cherokee County",4946,974,32.496239,152.2,905585079.889648,139076.671211981
9,Atlanta Regional Commission,Yes,13057090606,1362,Tract,2020,"Census Tract 906.06, Cherokee County",4712,550,5.828104,808.5,162410453.775879,51435.446865278
10,Atlanta Regional Commission,Yes,13057090605,1361,Tract,2020,"Census Tract 906.05, Cherokee County",3994,1209,2.669544,1496.1,74392122.7202148,61962.0458059287
11,Atlanta Regional Commission,Yes,13057090710,1370,Tract,2020,"Census Tract 907.10, Cherokee County",4052,897,3.660905,1106.8,102017176.208984,52431.441988721
12,Atlanta Regional Commission,Yes,13057090703,1363,Tract,2020,"Census Tract 907.03, Cherokee County",5071,944,3.288092,1542.2,91628084.6691895,62460.5812953841
13,Atlanta Regional Commission,Yes,13057090301,1349,Tract,2020,"Census Tract 903.01, Cherokee County",5191,1226,4.833421,1074,134693268.808105,59319.5431876772
14,Atlanta Regional Commission,Yes,13057091009,1388,Tract,2020,"Census Tract 910.09, Cherokee County",5905,595,2.214282,2666.8,61704275.1289063,51895.3203008919
15,Atlanta Regional Commission,Yes,13057090504,1355,Tract,2020,"Census Tract 905.04, Cherokee County",5277,1422,6.206795,850.2,172961891.75708,67406.4521546033
16,Atlanta Regional Commission,Yes,13057090202,1348,Tract,2020,"Census Tract 902.02, Cherokee County",6610,947,71.121666,92.9,1981981648.02661,237788.764713371
17,Atlanta Regional Commission,Yes,13057090705,1365,Tract,2020,"Census Tract 907.05, Cherokee County",2676,662,3.302944,810.2,92042590.9355469,48691.0031557704
18,Atlanta Regional Commission,Yes,13057090201,1347,Tract,2020,"Census Tract 902.01, Cherokee County",2225,463,14.405982,154.4,401459784.970947,90511.8595439117
19,Atlanta Regional Commission,Yes,13057090402,1353,Tract,2020,"Census Tract 904.02, Cherokee County",5159,749,15.881606,324.8,442574863.14624,151307.476749472
20,Atlanta Regional Commission,Yes,13057090808,1374,Tract,2020,"Census Tract 908.08, Cherokee County",6614,1395,5.806445,1139.1,161804757.858887,72253.9568367109
21,Atlanta Regional Commission,Yes,13057090911,1383,Tract,2020,"Census Tract 909.11, Cherokee County",5124,579,5.468755,937,152392721.125732,72601.7229997282
22,Atlanta Regional Commission,Yes,13057091011,1390,Tract,2020,"Census Tract 910.11, Cherokee County",4313,824,1.219915,3535.5,33994797.576416,34321.8512546448
23,Atlanta Regional Commission,Yes,13057090912,1384,Tract,2020,"Census Tract 909.12, Cherokee County",3827,704,3.308154,1156.8,92185700.5087891,62955.218134739
24,Atlanta Regional Commission,Yes,13057090805,1371,Tract,2020,"Census Tract 908.05, Cherokee County",4328,436,7.551911,573.1,210443106.43457,104990.767896979
25,Atlanta Regional Commission,Yes,13057090708,1368,Tract,2020,"Census Tract 907.08, Cherokee County",6268,1330,2.50839,2498.8,69900911.5209961,39815.2716702052
26,Atlanta Regional Commission,Yes,13057090303,1351,Tract,2020,"Census Tract 903.03, Cherokee County",6129,759,17.638561,347.5,491539268.646973,99684.4388440502
27,Atlanta Regional Commission,Yes,13057090807,1373,Tract,2020,"Census Tract 908.07, Cherokee County",7217,998,3.562462,2025.8,99273492.7478027,42948.808680046
28,Atlanta Regional Commission,Yes,13057090603,1359,Tract,2020,"Census Tract 906.03, Cherokee County",6141,993,8.935583,687.3,249005201.539307,73872.1570374242
29,Atlanta Regional Commission,Yes,13057090810,1376,Tract,2020,"Census Tract 908.10, Cherokee County",4327,624,7.637857,566.5,212839246.922119,62170.6854197313
30,Atlanta Regional Commission,Yes,13057090505,1356,Tract,2020,"Census Tract 905.05, Cherokee County",4716,643,9.559025,493.4,266377124.24707,73340.2766816878
31,Atlanta Regional Commission,Yes,13057090503,1354,Tract,2020,"Census Tract 905.03, Cherokee County",4206,641,15.644331,268.9,435878852.864502,90814.9979303332
32,Atlanta Regional Commission,Yes,13057090809,1375,Tract,2020,"Census Tract 908.09, Cherokee County",3981,383,9.737237,408.8,271339412.808105,87468.0213181263
33,Atlanta Regional Commission,Yes,13057090302,1350,Tract,2020,"Census Tract 903.02, Cherokee County",2583,546,23.966965,107.8,667894932.023926,163966.783909046
34,Atlanta Regional Commission,Yes,13057090604,1360,Tract,2020,"Census Tract 906.04, Cherokee County",3069,389,5.183547,592.1,144449413.518799,71328.7448174328
35,Atlanta Regional Commission,Yes,13057090507,1358,Tract,2020,"Census Tract 905.07, Cherokee County",2830,1368,9.666339,292.8,269408019.230713,70002.5529614286
36,Atlanta Regional Commission,Yes,13057090506,1357,Tract,2020,"Census Tract 905.06, Cherokee County",4081,516,27.827518,146.7,775465585.362793,174375.395495879
37,Atlanta Regional Commission,Yes,13057090102,1345,Tract,2020,"Census Tract 901.02, Cherokee County",4396,509,29.381708,149.6,818794639.718994,130302.469584348
38,Atlanta Regional Commission,Yes,13057090103,1346,Tract,2020,"Census Tract 901.03, Cherokee County",2099,318,7.771442,270.1,216567765.265869,82581.4012000394
39,Atlanta Regional Commission,Yes,13057090704,1364,Tract,2020,"Census Tract 907.04, Cherokee County",4433,1194,2.800007,1583.2,78026491.7075195,40521.9562779823
40,Atlanta Regional Commission,Yes,13057090401,1352,Tract,2020,"Census Tract 904.01, Cherokee County",5635,860,2.027727,2779,56506768.3352051,43298.9774653347
41,Atlanta Regional Commission,Yes,13057090707,1367,Tract,2020,"Census Tract 907.07, Cherokee County",4506,629,0.88124,5113.2,24557287.7246094,22173.8521369368
42,Atlanta Regional Commission,Yes,13057091106,1397,Tract,2020,"Census Tract 911.06, Cherokee County",5121,859,2.135229,2398.3,59501587.2111816,35358.2214356359
43,Atlanta Regional Commission,Yes,13247060403,3503,Tract,2020,"Census Tract 604.03, Rockdale County",3764,514,14.964128,251.5,416940259.931885,131814.211393522
44,Atlanta Regional Commission,Yes,13247060306,3493,Tract,2020,"Census Tract 603.06, Rockdale County",3341,570,5.659772,590.3,157698387.734375,64456.318139195
45,Atlanta Regional Commission,Yes,13247060305,3492,Tract,2020,"Census Tract 603.05, Rockdale County",6054,877,6.519081,928.7,181641791.936768,75872.1420888798
46,Atlanta Regional Commission,Yes,13247060101,3486,Tract,2020,"Census Tract 601.01, Rockdale County",4271,962,11.029472,387.2,307318854.967285,78368.0695897873
47,Atlanta Regional Commission,Yes,13247060406,3504,Tract,2020,"Census Tract 604.06, Rockdale County",5655,777,4.221028,1339.7,117608624.538818,50625.8615746524
48,Atlanta Regional Commission,Yes,13247060407,3505,Tract,2020,"Census Tract 604.07, Rockdale County",2840,413,2.33071,1218.5,64939264.9025879,51195.2410330392
49,Atlanta Regional Commission,Yes,13247060201,3489,Tract,2020,"Census Tract 602.01, Rockdale County",5408,824,4.80149,1126.3,133784904.633301,56879.5167745693
50,River Valley,No,13215011100,3295,Tract,2020,"Census Tract 111, Muscogee County",1761,280,1.503319,1171.4,41882355.3607178,45584.0389200184
51,Middle Georgia,No,13153021108,3010,Tract,2020,"Census Tract 211.08, Houston County",6922,983,5.232825,1322.8,145774810.987549,65036.831247992
52,Atlanta Regional Commission,Yes,13121011417,2477,Tract,2020,"Census Tract 114.17, Fulton County",4805,490,2.9431,1632.6,82010998.3757324,50150.652594535
53,Atlanta Regional Commission,Yes,13121011416,2476,Tract,2020,"Census Tract 114.16, Fulton County",5079,533,2.570749,1975.7,71635296.1943359,47628.7929150706
54,Atlanta Regional Commission,Yes,13121011421,2479,Tract,2020,"Census Tract 114.21, Fulton County",5591,1579,1.521497,3674.7,42397077.5183105,32618.7245898252
55,Northeast Georgia,No,13195020300,3192,Tract,2020,"Census Tract 203, Madison County",4940,597,68.42231,72.2,1907084258.37109,241660.076105196
56,Northeast Georgia,No,13195020100,3190,Tract,2020,"Census Tract 201, Madison County",5942,630,61.318653,96.9,1708965052.47485,219277.203568633
57,Northeast Georgia,No,13195020400,3193,Tract,2020,"Census Tract 204, Madison County",5751,621,32.681065,176,910834110.972656,154943.522441872
58,Northeast Georgia,No,13195020600,3196,Tract,2020,"Census Tract 206, Madison County",2089,446,41.53064,50.3,1157548093.96582,184082.684807365
59,Northeast Georgia,No,13195020200,3191,Tract,2020,"Census Tract 202, Madison County",4230,590,48.034935,88.1,1338796991.64185,211870.781376543
60,Three Rivers,No,13285961000,3637,Tract,2020,"Census Tract 9610, Troup County",5693,715,56.107349,101.5,1563369911.19238,173532.614937874
61,Three Rivers,No,13285960300,3625,Tract,2020,"Census Tract 9603, Troup County",3849,508,13.881096,277.3,386789156.31604,100205.18975186
62,Three Rivers,No,13285960501,3628,Tract,2020,"Census Tract 9605.01, Troup County",4572,735,2.928114,1561.4,81587911.2290039,41672.8985416347
63,Southern Georgia,No,13185010500,3146,Tract,2020,"Census Tract 105, Lowndes County",4776,754,0.796347,5997.4,22179391.3324585,20883.164294336
64,Atlanta Regional Commission,Yes,13121011426,2483,Tract,2020,"Census Tract 114.26, Fulton County",2465,329,0.567728,4341.9,15819856.1274414,22279.7502131224
65,Atlanta Regional Commission,Yes,13121011618,2514,Tract,2020,"Census Tract 116.18, Fulton County",5004,1015,2.018864,2478.6,56256327.1501465,33808.1478600835
66,Atlanta Regional Commission,Yes,13121011612,2513,Tract,2020,"Census Tract 116.12, Fulton County",3553,852,2.876301,1235.3,80148084.2446289,46820.2840914099
67,Atlanta Regional Commission,Yes,13121007705,2316,Tract,2020,"Census Tract 77.05, Fulton County",3932,807,1.283648,3063.1,35767083.7631836,34608.1271081158
68,Atlanta Regional Commission,Yes,13121009601,2372,Tract,2020,"Census Tract 96.01, Fulton County",3538,683,0.317497,11143.4,8846840.28857422,14212.2138766327
69,Atlanta Regional Commission,Yes,13121010121,2393,Tract,2020,"Census Tract 101.21, Fulton County",2233,362,0.809762,2757.6,22563835.1403809,19227.9429188874
70,Southern Georgia,No,13185010601,3147,Tract,2020,"Census Tract 106.01, Lowndes County",6500,994,1.914729,3394.7,53328134.1446533,35521.8823688936
71,Atlanta Regional Commission,Yes,13117130105,2179,Tract,2020,"Census Tract 1301.05, Forsyth County",2907,432,4.041361,719.3,112619031.752441,52620.5553296345
72,Atlanta Regional Commission,Yes,13135050308,2666,Tract,2020,"Census Tract 503.08, Gwinnett County",3604,325,2.198383,1639.4,61257716.6450195,43319.2030340712
73,Three Rivers,No,13285960800,3633,Tract,2020,"Census Tract 9608, Troup County",4489,844,1.400762,3204.7,39030404.3984375,30931.8837279171
74,Atlanta Regional Commission,Yes,13135050306,2665,Tract,2020,"Census Tract 503.06, Gwinnett County",3693,804,3.919658,942.2,109219418.578125,53473.2818574818
75,Southern Georgia,No,13185011302,3157,Tract,2020,"Census Tract 113.02, Lowndes County",1932,385,1.348256,1433,37550463.72052,30797.2452088772
76,Coastal Regional Commission,No,13179010103,3112,Tract,2020,"Census Tract 101.03, Liberty County",1345,265,3.316879,405.5,92517310.1489258,50761.6910081301
77,Coastal Regional Commission,No,13179010205,3115,Tract,2020,"Census Tract 102.05, Liberty County",6036,845,2.354908,2563.2,65682526.9240723,50255.6891652587
78,Three Rivers,No,13285960901,3634,Tract,2020,"Census Tract 9609.01, Troup County",4074,564,3.741149,1089,104243177.501465,68442.3454903906
79,Southern Georgia,No,13185010900,3152,Tract,2020,"Census Tract 109, Lowndes County",1732,325,1.648146,1050.9,45902301.7741699,30005.1345254678
80,Atlanta Regional Commission,Yes,13089022800,1923,Tract,2020,"Census Tract 228, DeKalb County",4403,584,0.942707,4670.6,26267232.6176758,28281.1412219249
81,Atlanta Regional Commission,Yes,13089022900,1924,Tract,2020,"Census Tract 229, DeKalb County",4044,440,1.507526,2682.5,42005057.1870117,39664.4150544005
82,Northwest Georgia,No,13115002100,2174,Tract,2020,"Census Tract 21, Floyd County",4360,688,10.503009,415.1,292745236.149902,96227.0629472317
83,Southern Georgia,No,13185011402,3159,Tract,2020,"Census Tract 114.02, Lowndes County",2661,530,9.996147,266.2,278402496.702454,70689.4666728398
84,Three Rivers,No,13285960600,3631,Tract,2020,"Census Tract 9606, Troup County",5536,690,24.01232,230.5,669047841.23291,135951.190662787
85,Three Rivers,No,13285961100,3638,Tract,2020,"Census Tract 9611, Troup County",2749,368,62.111355,44.3,1730391931.4613,195860.644041934
86,Three Rivers,No,13285960700,3632,Tract,2020,"Census Tract 9607, Troup County",4767,718,26.642881,178.9,742347306.031738,127199.313782852
87,Atlanta Regional Commission,Yes,13089021412,1849,Tract,2020,"Census Tract 214.12, DeKalb County",3825,412,1.210801,3159.1,33738015.0292969,31150.7109544811
88,Atlanta Regional Commission,Yes,13089023601,2000,Tract,2020,"Census Tract 236.01, DeKalb County",2889,779,0.697044,4144.6,19422056.8728027,21535.0234460377
89,Atlanta Regional Commission,Yes,13089021307,1841,Tract,2020,"Census Tract 213.07, DeKalb County",3708,506,1.398083,2652.2,38956689.9560547,25674.6308876094
90,Atlanta Regional Commission,Yes,13089021415,1850,Tract,2020,"Census Tract 214.15, DeKalb County",4049,681,0.794099,5098.9,22126942.8532715,26520.3883088761
91,Atlanta Regional Commission,Yes,13089021417,1852,Tract,2020,"Census Tract 214.17, DeKalb County",5017,732,0.743472,6748.1,20716197.8986816,18927.4787015275
92,Atlanta Regional Commission,Yes,13089021305,1839,Tract,2020,"Census Tract 213.05, DeKalb County",5298,791,0.976193,5427.2,27201250.1721191,23446.2623971851
93,Southern Georgia,No,13185011100,3154,Tract,2020,"Census Tract 111, Lowndes County",3044,535,0.756456,4024,21068209.8807373,21227.4346362702
94,Central Savannah River Area,No,13141480300,2905,Tract,2020,"Census Tract 4803, Hancock County",2181,509,172.67835,12.6,4812014733.14746,383244.771305733
95,Atlanta Regional Commission,Yes,13121011505,2503,Tract,2020,"Census Tract 115.05, Fulton County",4120,502,1.661971,2479,46311967.3344727,31033.0484617302
96,Atlanta Regional Commission,Yes,13121011422,2480,Tract,2020,"Census Tract 114.22, Fulton County",3572,383,1.688515,2115.5,47050847.7958984,36453.9780108724
97,Atlanta Regional Commission,Yes,13121011424,2482,Tract,2020,"Census Tract 114.24, Fulton County",6284,1089,1.888431,3327.6,52621169.8088379,38614.7905774542
98,Southern Georgia,No,13185011301,3156,Tract,2020,"Census Tract 113.01, Lowndes County",4009,720,1.707408,2348,47552814.5100708,36851.7034903664
99,Atlanta Regional Commission,Yes,13089023000,1925,Tract,2020,"Census Tract 230, DeKalb County",2371,228,0.689325,3439.6,19207080.4189453,23530.610584488
100,Atlanta Regional Commission,Yes,13089023101,1926,Tract,2020,"Census Tract 231.01, DeKalb County",4259,706,1.37241,3103.3,38240082.9555664,30119.4964678097
101,Atlanta Regional Commission,Yes,13089023102,1927,Tract,2020,"Census Tract 231.02, DeKalb County",3271,427,0.971325,3367.6,27064584.2272949,22559.658037379
102,Atlanta Regional Commission,Yes,13089021306,1840,Tract,2020,"Census Tract 213.06, DeKalb County",5286,598,2.038649,2592.9,56805963.2131348,32775.4564756554
103,Atlanta Regional Commission,Yes,13089021308,1842,Tract,2020,"Census Tract 213.08, DeKalb County",4026,518,1.043697,3857.4,29081860.4550781,27211.2874175645
104,Atlanta Regional Commission,Yes,13089021913,1892,Tract,2020,"Census Tract 219.13, DeKalb County",4314,660,1.155132,3734.6,32186457.3532715,26726.302559734
105,Atlanta Regional Commission,Yes,13089022203,1908,Tract,2020,"Census Tract 222.03, DeKalb County",2093,510,1.104654,1894.7,30779779.7038574,25987.1106989644
106,Georgia Mountains,No,13241970302,3425,Tract,2020,"Census Tract 9703.02, Rabun County",1510,251,36.644825,41.2,1021415389.4624,165961.598060029
107,Atlanta Regional Commission,Yes,13121012300,2556,Tract,2020,"Census Tract 123, Fulton County",2813,660,1.37989,2038.6,38448344.6782227,36210.0247971854
108,Atlanta Regional Commission,Yes,13089023214,1939,Tract,2020,"Census Tract 232.14, DeKalb County",5068,813,2.556924,1982.1,71244138.5373535,36578.1539790017
109,Atlanta Regional Commission,Yes,13089023313,1949,Tract,2020,"Census Tract 233.13, DeKalb County",5729,993,1.900253,3014.9,52947388.8967285,31092.4326375067
110,Atlanta Regional Commission,Yes,13089021101,1817,Tract,2020,"Census Tract 211.01, DeKalb County",4259,622,1.26501,3366.8,35248771.720459,27024.5937445221
111,Atlanta Regional Commission,Yes,13089023107,1928,Tract,2020,"Census Tract 231.07, DeKalb County",4059,714,1.449408,2800.5,40385556.8571777,32912.8096429961
112,Atlanta Regional Commission,Yes,13089023108,1929,Tract,2020,"Census Tract 231.08, DeKalb County",4096,699,1.432117,2860.1,39903688.0197754,30079.1471530558
113,Northeast Georgia,No,13159010501,3054,Tract,2020,"Census Tract 105.01, Jasper County",3838,527,36.390171,105.5,1013890898.59839,211028.289474555
114,Northeast Georgia,No,13159010503,3056,Tract,2020,"Census Tract 105.03, Jasper County",2486,329,168.57515,14.7,4696805776.51123,366255.74198077
115,Heart of Georgia Altamaha,No,13209950300,3223,Tract,2020,"Census Tract 9503, Montgomery County",2101,294,79.696892,26.4,2221143794.60974,251322.453416032
116,Heart of Georgia Altamaha,No,13209950200,3222,Tract,2020,"Census Tract 9502, Montgomery County",4896,363,79.247482,61.8,2208633021.72888,286551.963448321
117,Heart of Georgia Altamaha,No,13209950100,3221,Tract,2020,"Census Tract 9501, Montgomery County",1704,265,85.913551,19.8,2394497397.38159,267720.654608477
118,Northeast Georgia,Yes,13297110503,3685,Tract,2020,"Census Tract 1105.03, Walton County",3893,424,7.52021,517.7,209548303.749756,72364.6366937738
119,Northeast Georgia,Yes,13297110504,3686,Tract,2020,"Census Tract 1105.04, Walton County",5994,709,5.276268,1136,147020616.367432,53983.488599878
120,Atlanta Regional Commission,Yes,13089021217,1825,Tract,2020,"Census Tract 212.17, DeKalb County",2857,470,0.636719,4487.1,17741917.4672852,18356.9960866623
121,Atlanta Regional Commission,Yes,13089021409,1846,Tract,2020,"Census Tract 214.09, DeKalb County",3822,771,0.402237,9501.9,11208008.2119141,20083.2429693133
122,Atlanta Regional Commission,Yes,13089023111,1930,Tract,2020,"Census Tract 231.11, DeKalb County",2377,368,0.90841,2616.7,25311480.5966797,24508.9890514815
123,Atlanta Regional Commission,Yes,13089022010,1900,Tract,2020,"Census Tract 220.10, DeKalb County",2321,321,0.488405,4752.2,13608840.8334961,15130.1825852272
124,Atlanta Regional Commission,Yes,13089023113,1932,Tract,2020,"Census Tract 231.13, DeKalb County",3040,594,0.791885,3838.9,22064793.9367676,25163.7721612896
125,Atlanta Regional Commission,Yes,13089023209,1935,Tract,2020,"Census Tract 232.09, DeKalb County",5603,782,1.82694,3066.9,50905091.6647949,31760.5971615641
126,Atlanta Regional Commission,Yes,13089023211,1936,Tract,2020,"Census Tract 232.11, DeKalb County",3960,770,0.962364,4114.9,26814733.8569336,24500.0960183134
127,Atlanta Regional Commission,Yes,13135050105,2624,Tract,2020,"Census Tract 501.05, Gwinnett County",5353,836,5.600644,955.8,156066744.569824,66221.8025782619
128,Atlanta Regional Commission,Yes,13135050205,2637,Tract,2020,"Census Tract 502.05, Gwinnett County",4901,848,2.001767,2448.3,55779287.9472656,34682.455438097
129,Atlanta Regional Commission,Yes,13135050415,2687,Tract,2020,"Census Tract 504.15, Gwinnett County",3917,423,3.302849,1185.9,92030111.9538574,54049.214796605
130,Atlanta Regional Commission,Yes,13057091105,1396,Tract,2020,"Census Tract 911.05, Cherokee County",5233,980,2.118227,2470.5,59027840.4470215,38958.4304125594
131,Atlanta Regional Commission,Yes,13057091012,1391,Tract,2020,"Census Tract 910.12, Cherokee County",3736,609,1.669036,2238.4,46510008.3862305,44011.9586371243
132,Atlanta Regional Commission,Yes,13089023115,1934,Tract,2020,"Census Tract 231.15, DeKalb County",2000,178,0.255954,7813.9,7131791.15673828,11957.1834718135
133,Atlanta Regional Commission,Yes,13089023422,1970,Tract,2020,"Census Tract 234.22, DeKalb County",6173,776,3.523405,1752,98172491.3183594,39796.0007535407
134,Atlanta Regional Commission,Yes,13089023424,1971,Tract,2020,"Census Tract 234.24, DeKalb County",4926,655,2.749021,1791.9,76596136.0856934,35797.1433868892
135,Atlanta Regional Commission,Yes,13089023427,1974,Tract,2020,"Census Tract 234.27, DeKalb County",3100,693,1.763474,1757.9,49135695.8439941,37548.7198719528
136,Atlanta Regional Commission,Yes,13089021204,1820,Tract,2020,"Census Tract 212.04, DeKalb County",3004,711,1.808928,1660.7,50404741.6582031,30777.0963712224
137,Northeast Georgia,No,13133950301,2618,Tract,2020,"Census Tract 9503.01, Greene County",2753,309,17.441023,157.8,486023797.049805,139098.145269656
138,Northeast Georgia,No,13133950302,2619,Tract,2020,"Census Tract 9503.02, Greene County",3280,333,46.014149,71.3,1282300772.62915,195594.528696746
139,Atlanta Regional Commission,Yes,13121011439,2495,Tract,2020,"Census Tract 114.39, Fulton County",4116,534,1.751764,2349.6,48812800.1960449,37411.4396659348
140,Atlanta Regional Commission,Yes,13121011429,2485,Tract,2020,"Census Tract 114.29, Fulton County",5140,561,1.42853,3598.1,39806285.6269531,31633.3149624572
141,Atlanta Regional Commission,Yes,13121011441,2497,Tract,2020,"Census Tract 114.41, Fulton County",3569,726,1.300992,2743.3,36252341.8562012,35334.874195772
142,Atlanta Regional Commission,Yes,13121011444,2500,Tract,2020,"Census Tract 114.44, Fulton County",3563,763,2.935191,1213.9,81789162.1320801,57894.6195374322
143,Atlanta Regional Commission,Yes,13121011644,2533,Tract,2020,"Census Tract 116.44, Fulton County",4020,683,0.420975,9549.3,11730717.5625,14788.490278957
144,Atlanta Regional Commission,Yes,13121011652,2541,Tract,2020,"Census Tract 116.52, Fulton County",2803,351,2.623841,1068.3,73114730.0454102,47848.846516643
145,Atlanta Regional Commission,Yes,13121011656,2545,Tract,2020,"Census Tract 116.56, Fulton County",3876,644,1.756286,2206.9,48939652.359375,34883.7786327173
146,Atlanta Regional Commission,Yes,13121011509,2506,Tract,2020,"Census Tract 115.09, Fulton County",2040,301,4.890704,417.1,136283640.837646,54548.9555122411
147,Atlanta Regional Commission,Yes,13121011634,2523,Tract,2020,"Census Tract 116.34, Fulton County",2450,561,0.603624,4058.8,16820168.1867676,18561.7178734965
148,Atlanta Regional Commission,Yes,13121011651,2540,Tract,2020,"Census Tract 116.51, Fulton County",1962,281,1.027798,1908.9,28639982.7143555,32196.1938141729
149,Atlanta Regional Commission,Yes,13089023212,1937,Tract,2020,"Census Tract 232.12, DeKalb County",3827,907,1.370343,2792.7,38182358.9335938,29166.3628335666
150,Atlanta Regional Commission,Yes,13097080509,2069,Tract,2020,"Census Tract 805.09, Douglas County",6326,956,3.356607,1884.6,93532104.3203125,49457.93264056
151,Coastal Regional Commission,No,13179990000,3127,Tract,2020,"Census Tract 9900, Liberty County",0,14,51.835949,0,1446675130.07727,216871.785761452
152,River Valley,No,13249960100,3510,Tract,2020,"Census Tract 9601, Schley County",2537,248,95.521317,26.6,2660742681.64063,287102.049646263
153,River Valley,No,13249960200,3511,Tract,2020,"Census Tract 9602, Schley County",2085,247,72.410873,28.8,2016979491.46582,238058.657123963
154,Central Savannah River Area,No,13303950500,3714,Tract,2020,"Census Tract 9505, Washington County",5329,484,228.0743,23.4,6356936239.00146,430511.302565824
155,Central Savannah River Area,No,13303950700,3715,Tract,2020,"Census Tract 9507, Washington County",3583,384,115.31403,31.1,3213594032.58813,289344.388752204
156,Central Savannah River Area,No,13303950400,3713,Tract,2020,"Census Tract 9504, Washington County",4638,549,51.38345,90.3,1432117434.92163,168007.589105984
157,Central Savannah River Area,No,13303950300,3712,Tract,2020,"Census Tract 9503, Washington County",4807,454,60.485771,79.5,1685684692.3064,238196.926987022
158,Central Savannah River Area,No,13303950100,3711,Tract,2020,"Census Tract 9501, Washington County",1695,276,229.44087,7.4,6394314642.19556,570998.969446123
159,Georgia Mountains,No,13119890300,2228,Tract,2020,"Census Tract 8903, Franklin County",3361,593,61.134586,55,1703906779.448,226296.962845567
160,Atlanta Regional Commission,Yes,13089020802,1814,Tract,2020,"Census Tract 208.02, DeKalb County",4249,567,1.042023,4077.6,29034429.9934082,39511.5149347277
161,Atlanta Regional Commission,Yes,13089021911,1890,Tract,2020,"Census Tract 219.11, DeKalb County",2703,1155,0.357872,7553,9971688.51879883,16451.5890700773
162,Atlanta Regional Commission,Yes,13089021410,1847,Tract,2020,"Census Tract 214.10, DeKalb County",5578,764,1.057412,5275.1,29463931.029541,28143.8674983489
163,Atlanta Regional Commission,Yes,13089021503,1858,Tract,2020,"Census Tract 215.03, DeKalb County",3632,422,0.748356,4853.3,20852189.4667969,19364.3837944542
164,Atlanta Regional Commission,Yes,13121001001,2240,Tract,2020,"Census Tract 10.01, Fulton County",4240,543,0.361221,11738,10065035.7219238,17777.8482844174
165,Atlanta Regional Commission,Yes,13121008903,2345,Tract,2020,"Census Tract 89.03, Fulton County",2435,561,0.447871,5436.8,12479620.0107422,21203.4683965235
166,Atlanta Regional Commission,Yes,13121004300,2279,Tract,2020,"Census Tract 43, Fulton County",2699,384,0.241008,11198.8,6715412.78222656,14289.065545801
167,Atlanta Regional Commission,Yes,13121980000,2557,Tract,2020,"Census Tract 9800, Fulton County",0,14,1.053677,0,29358891.026123,33670.0043663493
168,Atlanta Regional Commission,Yes,13097080303,2055,Tract,2020,"Census Tract 803.03, Douglas County",3170,415,2.001649,1583.7,55776537.4763184,34965.0546406271
169,Atlanta Regional Commission,Yes,13097080304,2056,Tract,2020,"Census Tract 803.04, Douglas County",6767,953,3.97633,1701.8,110801927.206543,49463.7755817152
170,Atlanta Regional Commission,Yes,13089021208,1821,Tract,2020,"Census Tract 212.08, DeKalb County",5144,803,1.395391,3686.4,38881788.9833984,41132.5587882319
171,Atlanta Regional Commission,Yes,13097080508,2068,Tract,2020,"Census Tract 805.08, Douglas County",5156,597,2.503312,2059.7,69755461.9777832,35781.7431043354
172,Atlanta Regional Commission,Yes,13089021210,1822,Tract,2020,"Census Tract 212.10, DeKalb County",5507,545,2.457484,2240.9,68477141.8486328,37995.9571540874
173,Atlanta Regional Commission,Yes,13089021211,1823,Tract,2020,"Census Tract 212.11, DeKalb County",4937,597,1.974721,2500.1,55025054.3413086,33909.3406237627
174,Atlanta Regional Commission,Yes,13089021808,1874,Tract,2020,"Census Tract 218.08, DeKalb County",4854,816,1.174382,4133.2,32723243.9855957,24882.5238636172
175,Atlanta Regional Commission,Yes,13089023410,1967,Tract,2020,"Census Tract 234.10, DeKalb County",3271,474,1.252077,2612.5,34886930.701416,34662.8707273432
176,Atlanta Regional Commission,Yes,13089023411,1968,Tract,2020,"Census Tract 234.11, DeKalb County",3704,502,1.126555,3287.9,31389492.4641113,29856.086468651
